algorithm,k,performance_ms,cost
K-MEANS,2,367,0.00495431425194387
K-MEANS-BISECTING,2,329,0.00495431425194387
K-MEANS,3,319,0.001701272705787793
K-MEANS-BISECTING,3,361,0.003611902429506486
K-MEANS,4,344,0.0011813811391107598
K-MEANS-BISECTING,4,192,8.62428486579081E-4
K-MEANS,5,235,3.425369199020478E-4
K-MEANS-BISECTING,5,185,7.384600673663866E-4
