giorno,fascia_eta,regione,predizione_vaccini
1 JUNE,70-79,Toscana,2168
1 JUNE,70-79,Piemonte,1955
1 JUNE,80-89,Sicilia,903
1 JUNE,80-89,Campania,597
1 JUNE,80-89,Umbria,276
1 JUNE,80-89,Provincia Autonoma Trento,252
1 JUNE,80-89,Liguria,181
1 JUNE,90+,Sicilia,403
1 JUNE,90+,Lombardia,267
1 JUNE,90+,Campania,259
1 JUNE,90+,Veneto,254
1 JUNE,90+,Liguria,110
