mese,fascia_eta,regione,predizione_vaccini
1 JUNE,70-79,Valle d'Aosta / Vallée d'Aoste,0
1 JUNE,70-79,Lazio,0
1 JUNE,70-79,Basilicata,0
1 JUNE,70-79,Liguria,0
1 JUNE,80-89,Liguria,0
1 JUNE,80-89,Calabria,0
1 JUNE,80-89,Valle d'Aosta / Vallée d'Aoste,0
1 JUNE,80-89,Marche,0
1 JUNE,80-89,Puglia,0
1 JUNE,90+,Emilia-Romagna,0
1 JUNE,90+,Piemonte,0
1 JUNE,90+,Sardegna,0
1 JUNE,90+,Lombardia,0
1 JUNE,90+,Provincia Autonoma Trento,0
