algorithm,k,performance_ms,cost
K-MEANS,2,392,0.005639449880543328
K-MEANS-BISECTING,2,189,0.005639449880543328
K-MEANS,3,118,0.002325087346269719
K-MEANS-BISECTING,3,100,0.00312932815369285
K-MEANS,4,120,0.0014742726284147512
K-MEANS-BISECTING,4,101,0.001393250663976422
K-MEANS,5,100,0.0013042266146580308
K-MEANS-BISECTING,5,103,6.704726296520519E-4
