algorithm,k,performance_ms,cost
K-MEANS,2,374,0.00495431425194387
K-MEANS-BISECTING,2,389,0.00495431425194387
K-MEANS,3,340,0.001701272705787793
K-MEANS-BISECTING,3,259,0.001701272705787793
K-MEANS,4,253,9.437959198378421E-4
K-MEANS-BISECTING,4,220,8.62428486579081E-4
K-MEANS,5,210,6.970742334618252E-4
K-MEANS-BISECTING,5,269,3.425369199020478E-4
