giorno,fascia_eta,regione,predizione_vaccini
1 APRIL,30-39,Veneto,551
1 APRIL,30-39,Lazio,537
1 APRIL,30-39,Piemonte,344
1 APRIL,30-39,Campania,323
1 APRIL,40-49,Lombardia,2620
1 APRIL,40-49,Veneto,781
1 APRIL,40-49,Lazio,615
1 APRIL,40-49,Sardegna,488
1 APRIL,40-49,Calabria,406
1 APRIL,50-59,Lombardia,3060
1 APRIL,50-59,Veneto,1154
1 APRIL,50-59,Lazio,860
1 APRIL,50-59,Liguria,640
1 APRIL,50-59,Sardegna,636
1 APRIL,60-69,Lazio,1544
1 APRIL,60-69,Lombardia,1472
1 APRIL,60-69,Veneto,1135
1 APRIL,60-69,Sicilia,968
1 APRIL,60-69,Campania,931
1 APRIL,70-79,Veneto,4268
1 APRIL,70-79,Lazio,3899
1 APRIL,70-79,Emilia-Romagna,3238
1 APRIL,70-79,Sicilia,2951
1 APRIL,70-79,Campania,2894
1 APRIL,80-89,Lombardia,11248
1 APRIL,80-89,Veneto,7134
1 APRIL,80-89,Piemonte,5468
1 APRIL,80-89,Emilia-Romagna,5178
1 APRIL,80-89,Lazio,4959
1 APRIL,90+,Lombardia,2553
1 APRIL,90+,Veneto,1744
1 APRIL,90+,Toscana,1527
1 APRIL,90+,Emilia-Romagna,1392
1 APRIL,90+,Lazio,1129
1 MAY,12-19,Lombardia,157
1 MAY,12-19,Campania,85
1 MAY,12-19,Piemonte,64
1 MAY,12-19,Sicilia,57
1 MAY,12-19,Emilia-Romagna,57
1 MAY,20-29,Lombardia,762
1 MAY,20-29,Campania,519
1 MAY,20-29,Lazio,514
1 MAY,20-29,Sicilia,444
1 MAY,20-29,Piemonte,353
1 MAY,30-39,Lombardia,857
1 MAY,30-39,Campania,705
1 MAY,30-39,Sicilia,529
1 MAY,30-39,Lazio,488
1 MAY,30-39,Emilia-Romagna,452
1 MAY,40-49,Lombardia,1518
1 MAY,40-49,Campania,1208
1 MAY,40-49,Sicilia,920
1 MAY,40-49,Emilia-Romagna,902
1 MAY,40-49,Piemonte,866
1 MAY,50-59,Lombardia,3169
1 MAY,50-59,Campania,2400
